Paper Code;Question Number;Question Statement;Mark;Answer;Topic
0417_m22_qp_12;5(b);Give three other examples of the use of GPS.;3;1. [Navigation in cars], 2. [Tracking lost items], 3. [Monitoring wildlife migration];Networks and the effects of using them
0417_m22_qp_12;6(a);Discuss the advantages and disadvantages of Tawara School using an online booking system rather than the manual system.;6;Advantages: [Convenience, Accessibility, Reduced workload]; Disadvantages: [Technical issues, Dependence on technology, Security concerns];System Life Cycle
0417_m22_qp_12;10;When creating an ICT solution, the legal, moral, ethical, and cultural implications have to be considered.;1;Legal;Safety and Security
0417_m22_qp_12;11(a);Ensuring that copyright laws have been followed.;1;Legal;Safety and Security
0417_m22_qp_12;11(b);Not giving information about the ICT solution to another company.;1;Ethical;Communication
0417_m22_qp_12;12(a);Complete this table, filling in the field names and the most appropriate data types.;6;[Field names: Vehicle_licence_plate, Powered_by, Service_interval, Cost_of_service, Model, Date_of_service], [Data types: Text/alphanumeric, Boolean, Numeric: Integer, Numeric: Currency, Text, Date];ICT applications
0417_m22_qp_12;12(b);Discuss the advantages and disadvantages of creating a relational database rather than a flat file database.;6;Advantages: [Data integrity, Data consistency, Better security]; Disadvantages: [Complexity, Training requirements, Higher setup costs];ICT applications
0417_m22_qp_12;12(c)(i);Validation check and description for Vehicle_licence_plate.;2;Presence check: [To make sure that it has been entered as its unique], Format check: [To fit in with the layout];Safety and Security
0417_m22_qp_12;12(c)(ii);Validation check and description for Cost_of_service.;2;Type check: [Digits only], Range check: [Between 1500 and 5000];Safety and Security
0417_m22_qp_12;12(c)(iii);Validation check and description for Date_of_service.;2;Format check: [To ensure it is dd/mmm/yyyy], Range check: [To ensure it is between certain dates], Length check: [Maximum of for example 11 characters];Safety and Security
0417_m22_qp_12;13(a);Identify three items of computer hardware that may need to be purchased to set up a computer network.;3;1. [Network cards], 2. [Router], 3. [Switch/hub];Safety and Security
0417_m22_qp_12;13(b);Describe three other ways Arjun could make appropriate use of the internet.;3;1. [Email], 2. [Online chat/Instant message], 3. [VOIP];Communication
0417_m22_qp_12;13(c);Describe two drawbacks of Arjun using the internet for research.;2;1. [Information can be unreliable], 2. [Data may be out of date];Communication
0417_m22_qp_12;13(d)(i);Explain why entering a user id and password is not very secure.;2;1. [User id and password can sometimes be easily guessed], 2. [Passwords can be hacked with key logging software];Safety and Security
0417_m22_qp_12;13(d)(ii);Describe two other ways the office system could identify the user securely.;4;1. [One-use code/token], 2. [Card/dongle], 3. [Biometrics];Safety and Security

Paper Code;Question Number;Question Statement;Mark;Answer;Topic
0417_m23_qp_12;1(a);Explain what is meant by the term software.;1;Software are programs/apps used by a computer;Types and components of computer systems
0417_m23_qp_12;1(b);State the two types of software used by computers.;2;Applications, System;Types and components of computer systems
0417_m23_qp_12;2;Tick (✓) the device which produces hard copy.;1;B Laser printer;Input and Output devices
0417_m23_qp_12;3;State three items that should be included in the technical documentation of a computer system.;3;Purpose of the system/program/software, Limitations of the system, Program listing/coding;System Life Cycle
0417_m23_qp_12;4(a);Search engines can be used to research information on the internet. Describe three benefits of using a search engine to find information.;3;Fast to find the information needed, More relevant websites are at the top of the list, The amount of information found is reduced making it easier to find relevant information;ICT applications
0417_m23_qp_12;4(b);Social media can be used to communicate with friends. Give four precautions that young people should take when using social media.;4;Block/report unwanted users, Do not arrange to meet online strangers face to face, Do not disclose personal data, Do not use your real name for the social media name;Safety and Security
0417_m23_qp_12;5;Describe how an expert system can be used to produce the best route for the delivery of items.;6;Interactive user interface asks questions about the route, The user answers the questions with Yes/No answers, The towns and areas visited/start/end point are typed/entered into the interactive user interface, Answers lead to other questions, The inference engine searches, The knowledge base, uses the rules base, The knowledge base is searched for suitable routes between two points, Suggested/probable routes and schedules are displayed;ICT applications
0417_m23_qp_12;6;State two devices found in the home which could be connected via Bluetooth.;2;Keyboard, Headphones;Networks and the effects of using them
0417_m23_qp_12;7(a);Describe the characteristics of a primary key and a foreign key.;4;Primary key is unique, It cannot be a null value, Identifies a record;Storage devices and media
0417_m23_qp_12;7(b);Foreign key is needed to act as a link in relationships, It is only present in relational databases, It is a primary key in another table;Storage devices and media
0417_m23_qp_12;8;Describe four benefits of using smart devices in the home.;4;Can control the heating from your smartphone so that you come home to a warm house, Smart TVs allow programs to be recorded remotely, Smart TVs allow view on demand via the internet, Money saving due to reduced utility bills as heating is only turned on when needed;Types and components of computer systems
0417_m23_qp_12;9(a);State one use of the content layer.;1;Holds/to enter the information of a web page;ICT applications
0417_m23_qp_12;9(b);Presentation, Styles, Behaviour, Scripting, For scripting language to control elements within the web page, Holds the forms/image galleries, Adds Interactive content of the web page, Adds functionality;ICT applications
0417_m23_qp_12;10;State three advantages of using touch screens as an input device.;3;Quick to select options, Small footprint, Improved hand/eye coordination;Input and Output devices
0417_m23_qp_12;11(a);State two ways in which malware can cause problems on a computer.;2;Pop-up messages can appear on the computer screen, Causes the computer processing to slow down;Safety and Security
0417_m23_qp_12;11(b);State three precautions that can be taken to reduce the risk of computer viruses.;3;Download/use up to date anti-virus software, Regularly scan the computer for viruses, Only open email attachments from people you trust;Safety and Security
0417_m23_qp_12;11(c)(i);State two types of checks that a computer system may perform when data is entered.;2;Presence check, Format check;System Life Cycle
0417_m23_qp_12;11(c)(ii);Scan the computer for viruses, If a virus is found in the file…, …it alerts the user that the file needs to be quarantined, Re-scan the computer to check for further viruses, Allows the user to accept/reject the quarantining of the file, The file is moved to a hidden directory, The user does not have access to the quarantined file;Safety and Security
0417_m23_qp_12;12(a);Describe four ways in which a presentation can be enhanced.;4;Use of videos/animation relating to the topic, Use images relating to the topic, Consistent layout across all the slides, Balance of pictures and text;Communication
0417_m23_qp_12;12(b);Copyright is a type of intellectual property, It gives the owner of the copyright the exclusive right to make copies of the work, It allows the owner to give permission for others to use the work;Communication
0417_m23_qp_12;13;Discuss the benefits and drawbacks of using an ANPR system.;6;Benefits: Saves time in having to check the number plates manually, Less errors as the recognition system is automatic, Saves money as there is no need to check the number plates manually, Secure system as it only allows stored vehicles;Drawbacks: All vehicles need to be added to the database, If the number plate is obscured/dirty it is difficult to read, Some number plates cannot be read due to odd font/sideways, Data needs to be kept up to date, Expensive to setup/maintain the system;Safety and Security
0417_m23_qp_12;14;Compare RAM and ROM.;4;Similarities: Both are internal memory, Both are primary storage, The data on both can be read, Both are directly accessed by the CPU;Differences: RAM is volatile//ROM is non-volatile, RAM data can be read from and written to//ROM is read-only, RAM is temporary memory//ROM is permanent memory, ROM stores the start-up instructions whereas RAM is used to store the current program/instruction;Storage devices and media
0417_m23_qp_12;15;Discuss the advantages and disadvantages of using direct changeover as a method of systems implementation.;6;Advantages: Benefits are immediate whereas with parallel running it takes time for the new system to be fully running, With direct they only have to pay for one set of staff therefore saves costs, Costs are saved as only one computer system is needed, With direct the maintenance is cheaper as there is only one set of computers, Data is only entered once so saves duplication of data, The new system is checked thoroughly before implementation;Disadvantages: Staff have to be trained and be fully ready to use the new system before it is implemented, Staff cannot be trained on the new system whereas in parallel both systems are running, If there is a problem, then all the data can be lost; this could be disastrous for the company whereas in parallel there is the original system, With direct staff cannot be trained gradually;System Life Cycle
0417_m23_qp_12;16(a);Identify three other input devices shown in Fig. 16.1.;3;Pressure sensor, Keypad, Microphone;Input and Output devices
0417_m23_qp_12;16(b);Discuss the benefits and drawbacks of using an ANPR system.;6;Benefits: Saves time in having to check the number plates manually, Less errors as the recognition system is automatic, Saves money as there is no need to check the number plates manually, Secure system as it only allows stored vehicles;Drawbacks: All vehicles need to be added to the database, If the number plate is obscured/dirty it is difficult to read, Some number plates cannot be read due to odd font/sideways, Data needs to be kept up to date, Expensive to setup/maintain the system;Safety and Security
0417_m23_qp_12;17(a);Identify and describe two methods of verification.;4;Method 1: Visual verification – 1 mark, Re-reading the document referring to the original – 1 mark;Method 2: Double data entry – 1 mark;System Life Cycle

Paper Code;Question Number;Question Statement;Mark;Answer;Topic
0417_s20_qp_11;1(a);Define the term software.;2;Software is programs and data Programs for controlling the operation of a computer Programs for processing of electronic data;Types and components of computer systems
0417_s20_qp_11;1(b);Identify the types of software.;2;System software Applications software;Types and components of computer systems
0417_s20_qp_11;2;Tick (✓) whether the statements refer to CLI or GUI.;2;The user does not need to learn any of the instructions Each instruction has to be typed in correctly;Types and components of computer systems
0417_s20_qp_11;3(a);Describe the CPU including its role.;4;An item of hardware It carries out the instructions of a computer program It performs basic arithmetic calculations It performs logical operations It performs input/output operations of the computer It contains the internal storage/control unit;Types and components of computer systems
0417_s20_qp_11;3(b);Name the most appropriate device for reading data.;4;RFID reader Magnetic Ink Character Reader/MICR Bar code reader Chip reader;Input and Output devices
0417_s20_qp_11;4(a);Name a suitable data type for each question in the form.;4;Numeric: integer // text Date/time Boolean/logical Text/alphanumeric;ICT applications
0417_s20_qp_11;4(b);Identify whether each blood group is normal or abnormal data.;2;AB - normal C - abnormal B - normal AO - abnormal;ICT applications
0417_s20_qp_11;4(c);Write a query to find specific blood donors.;6;Health_number = 9434765919 AND Gender = F AND (Blood_group = A OR Blood_group = AB);ICT applications
0417_s20_qp_11;4(d);Explain why the date of birth is stored instead of the age.;4;The age changes every year therefore it will need to be changed regularly ... Administration of the database becomes more time-consuming. The age of the donor can be easily and automatically calculated from their date of birth ... improving accuracy. Data only needs to be entered once ... reducing errors.;ICT applications
0417_s20_qp_11;4(e);Name the most appropriate validation check for the Health_number.;1;Length check // Range check;Safety and Security
0417_s20_qp_11;5(a);Compare and contrast phishing and pharming.;6;Comparisons: Both use the internet Both redirect the user to a fake website Both can lead to fraud and identity theft Both use websites that look legitimate Personal data is compromised;Safety and Security
0417_s20_qp_11;5(b);Provide advice on avoiding smishing attacks.;6;Avoid clicking on any unknown texts with links/Avoid clicking links in texts from people you do not know. Do not reply to text messages that have asked you about any of your personal finances/details.;Safety and Security
0417_s20_qp_11;6;Identify the type of network and provide examples.;4;LAN - The internet is an example of this type of network This type of network is found in a building but is connected without cables WAN - This type of network is used to transmit data between Europe and North America WLAN - This type of network is found in a building but is connected with cables;Networks and the effects of using them
0417_s20_qp_11;7;List advantages and disadvantages of laptops.;6;Advantages: All elements are together in one unit therefore takes up less space They are portable Can be used in more places than a desktop;Types and components of computer systems
0417_s20_qp_11;8(a);List benefits of data protection.;6;If personal data is kept confidential then identity theft is reduced It helps prevent fraud Reduces the chance of users suffering harm from criminals, as less data for criminals to attempt to access Protects sensitive data … examples: racial/ethnic/political/religious/membership of trade unions/health/criminal activity;Safety and Security
0417_s20_qp_11;8(b);Name forms of electronic junk email.;2;Electronic Junk email/unsolicited emails/sent to a person without requesting it Deliberate filling up of a user’s inbox/many emails sent at once;Safety and Security
0417_s20_qp_11;8(c);List drawbacks of email spam.;4;Takes time to deal with it Can slow down networks Can fill up the receiver’s mailbox and therefore fill up hard disk/leads to denial of service Can increase the time needed to run your email software;Safety and Security
0417_s20_qp_11;9(a);Identify input and output devices for a point-of-sale system.;6;Bar code reader - Input Buzzer - Output Touch screen on till - Both Receipt printer - Output Light sensor on the conveyor belt - Input Electronic scales - Both;Input and Output devices
0417_s20_qp_11;9(b);Describe the process of stock control using a bar code reader.;6;Bar code is scanned at the POS/bar code number entered manually Bar code is searched for in the stock file … … until the record is found Details of the product are read Stock level of the item reduced by 1 New stock level written back to the file Item is flagged to state order in place If less than the re-order level then the item is automatically re-ordered;ICT applications
0417_s20_qp_11;10(a);List steps involved in system analysis.;6;Current system is observed Staff/potential users interviewed Staff/potential users given questionnaires Gather information about the current system Existing documents examined Inputs, outputs and processing of the current system determined Problems with the current system identified User and information requirements identified System specification decided Hardware identified/justified Software identified/justified;System Life Cycle
0417_s20_qp_11;10(b);Discuss advantages and disadvantages of using fingerprint data entry.;4;Advantages: Fingerprints are unique More accurate data entry Improved security Your fingerprints are with you all the time/cannot be lost/ID cards can be lost Student needs to be present at the reader Magnetic cards can be affected by magnetic fields/smartphones Very difficult to clone unlike cards Disadvantages: Takes a longer time to collect all the fingerprints and store them rather than producing ID cards Equipment would be more expensive Damage to the finger/reader will give false readings/no reading Invasion of privacy;Safety and Security
0417_s20_qp_11;10(c);Identify three examples of biometrics.;3;Iris scan Hand print Facial recognition Voice recognition Retina scan;Safety and Security
0417_s20_qp_11;11;List principles of a typical data protection act.;4;Data should be fairly and lawfully processed Data should only be processed for the stated purpose Data should be adequate, relevant and not excessive/limited Data should not be kept longer than necessary Data should be processed in accordance with the data subject’s rights Data should be kept secure Data should not be transferred to another country unless they have adequate protection. Data should be processed in a transparent manner Data should be collected for specified/explicit/legitimate purposes Data should only be further processed for archive purposes which are compatible with the initial purposes Data kept for archiving should safeguard the rights and freedoms of individuals Explicit consent required for processing sensitive data Parental consent required for processing personal data of children including online services Data subjects are allowed access to their personal data;Safety and Security
0417_s20_qp_11;12;Discuss the effectiveness of different methods for paying goods.;8;Magnetic stripe: Benefits - The user needs to have the card present to use it Data more difficult to copy as it uses a stripe Increased security as a signature is also needed Drawbacks - The card could be stolen and the signature copied Magnetic stripe can be affected by magnetic fields Card can be damaged due to overuse Chip and PIN: Benefits - Increased security as the card and a PIN are also needed The chip cannot be scanned remotely Drawbacks - Shoulder surfing can take place Security risk as the chip contains personal information Card can be damaged due to overuse Contactless: Benefits - More secure as encryption is used to read the card Card details can be stored on a smartphone which might have an extra layer of security Stops shoulder surfing Only allows a small amount to be transacted Drawbacks - Someone who steals the card can use it without a PIN Can be cloned using electronic devices No contact with the device so other devices may ‘read’ the card accidentally Security risk as the card contains personal information;ICT applications

0417_s20_qp_12;1;(a) Text (alphanumeric) Numeric Boolean Athlete_name Gold_medal (Y/N) Age Name_of_country [4];4;Text, Numeric, Boolean, Text;Types and components of computer systems
0417_s20_qp_12;1;(b) 6 formatting features used in the report [6];6;Bold, Italics, Underline, Font size, Font color, Alignment;ICT applications
0417_s20_qp_12;2;(a) Type of interface shown. [1];1;Graphical User Interface (GUI);Communication
0417_s20_qp_12;2;(b) 2 disadvantages of using this type of interface [2];2;Complexity, Learning curve;Communication
0417_s20_qp_12;3;A communication method that wirelessly connects a mobile phone to a car, to allow hands-free use of the mobile phone is... [4];4;Bluetooth;Networks and the effects of using them
0417_s20_qp_12;4;(a) Example of test data for validation rule [4];4;Normal: 5, Abnormal: -5, Abnormal: 15, Extreme: 100;ICT applications
0417_s20_qp_12;5;(b) Steps to edit the spreadsheet to prevent new data in the Forecast grade column [5];5;Select cell E3, click on Data Validation, set criteria for Forecast grade;ICT applications
0417_s20_qp_12;5;(ii) Explanation of the formula ROUNDUP(AVERAGE(B3:D3),0) [4];4;Calculates the rounded-up average of cells B3 to D3;ICT applications
0417_s20_qp_12;6;(c) Steps taken to create the graph + 3 improvements [6];6;Steps: Select data, Insert chart, Choose chart type. Improvements: Use a clear title, label axes properly, choose appropriate colors;ICT applications
0417_s20_qp_12;7;Explain what is meant by FTP [2];2;File Transfer Protocol is a standard network protocol used to transfer files between a client and a server on a computer network;Communication
0417_s20_qp_12;9;(a) Benefits and Drawbacks of using voice control [4];4;Benefits: Hands-free operation, Improved accessibility. Drawbacks: Security issues, Reliance on power;ICT applications
0417_s20_qp_12;9;(b) Benefits and Drawbacks of using voice control [6];6;Benefits: Wireless control, Home surveillance, Keyless door locks. Drawbacks: Security issues, Laziness, Reliant on power;ICT applications
0417_s20_qp_12;10;Four benefits of using music notation software [4];4;Automatic correction, Faster editing, Solo to multiple parts transformation, Automatic music score printing;ICT applications
0417_s20_qp_12;11;(a) Methods to gather information about the requirements of the target audience [2];2;Interviews, Questionnaires;Audiences
0417_s20_qp_12;11;(b) Steps to play music in the background of slides [4];4;Insert Audio, Locate music, Play in background, Test slideshow;ICT applications
0417_s20_qp_12;11;(c) Features to make the presentation meet the needs of young children [4];4;Easy-to-read font, Larger font size, Bright colors, More pictures;Audiences
0417_s20_qp_12;12;(a) Definition of repetitive strain injury (RSI) [2];2;Damage to fingers and wrists caused by continuous and repetitive use of a keyboard or mouse;Safety and Security
0417_s20_qp_12;12;(b) Three ways of minimizing the risk of RSI [3];3;Use ergonomic devices, Take regular breaks, Maintain correct posture;Safety and Security
0417_s20_qp_12;13;Compare and contrast the use of solid state storage with the use of optical storage [8];8;Differences: Reading/Writing method, Access times, Transfer rates, Susceptibility to scratches. Comparisons: Portable, Direct access, Easily lost/stolen;Storage devices and media
0417_s20_qp_12;14;Differences between internal memory and backing storage [6];6;Internal storage examples: RAM and ROM, Nature: Chip-based vs. Permanent, Speed: RAM faster, Capacity: More storage in backing storage;Types and components of computer systems

Code;Question Number;Question Statement;Mark;Answer;Topic
0417_s20_qp_13;1;There are two types of software: applications and system. Tick ( ✓ ) the most appropriate type of software for each of the following.;2;System;Types and components of computer systems
0417_s20_qp_13;2(a);Write down the type of interface shown.;1;Graphical User Interface;Types and components of computer systems
0417_s20_qp_13;2(b);Write down two advantages of using this type of interface.;2;User does not need to learn the commands, User-friendly;Types and components of computer systems
0417_s20_qp_13;3(a);Explain what a LAN is.;2;Local Area Network, A network within a building/site/small geographical area;Networks and the effects of using them
0417_s20_qp_13;3(b);Explain what a WAN is.;2;Wide Area Network, This network spans a large geographical area;Networks and the effects of using them
0417_s20_qp_13;4(a);Each term he loads the comments from his tutors into the word processing software. He then adds the attendance data from the database. The report is then printed and sent to parents. He has decided that in future he will use mail merge to print the reports. Give four advantages of using mail merge instead of typing the reports.;4;Fewer errors in typing the details, Faster process as he will have to check the comments and the data from the database, Saves time in matching the correct set of comments with the data in the database, The process is faster than typing out each student’s data;ICT applications
0417_s20_qp_13;4(b);As it is entered, the data on the database is checked using validation routines. The percentage attendance field uses a range check. Describe, using the percentage attendance field, the steps that need to be taken to create this validation routine.;4;Click on design view, Select the attendance field, Select the validation rule, Enter/type >=0 and <= 100, Select validation text/error message, Enter appropriate error message/validation text/example i.e. please enter a value between 0 and 100;Safety and Security
0417_s20_qp_13;4(c);Before the database can be implemented, the validation routines need to be tested. Describe, using the percentage attendance field, how the validation routine will be tested by Mason.;4;Click on table and field, Enter normal data and check, Enter abnormal data and check, Enter extreme data and check, If incorrect, make changes to boundaries, If incorrect, make changes to validation text, Save the database;Safety and Security
0417_s20_qp_13;5;The use of laptop computers and tablet computers by people on the move is becoming very popular. Describe four advantages of using a tablet computer rather than a laptop computer.;4;Faster switch on as the operating system does not need to load, Lighter and smaller than a laptop computer therefore more portable, Don’t generate as much heat, Battery life tends to last longer;Types and components of computer systems
0417_s20_qp_13;6(a);For the following fields write down the most appropriate data type. Each data type must be different. (a) Gender;3;Boolean/text/string/alphanumeric;Types and components of computer systems
0417_s20_qp_13;6(b);The systems analyst has set up the following fields for the database. For any numeric field, specify the type of number. Write down two advantages of using this type of interface.;8;Data fills the screen and it looks like an online form, Use of navigation buttons, Use of drop-down lists for Type_of_membership or Year_joined or Gender, Use of text/character boxes, The Name_of_person, Contact_email, and Contact_phone_no fields are larger than the other fields, Use of a calendar for Date_of_birth, Use of submit/help buttons, Appropriate title;Types and components of computer systems
0417_s20_qp_13;6(c);The systems analyst has set up the following fields for the database. Explain how a drop-down list for the field Type_of_membership could be created.;3;Bold, Centre/right alignment, Text/word wrap, Merge and centre, Increase/decrease size of columns, Row height increased;Types and components of computer systems
0417_s20_qp_13;6(d);The systems analyst has set up the following fields for the database. Write an IF statement to calculate the cost of the membership for a person if they are attending the presentation evening (in cell L3).;6;IF(E3=“Y”,VLOOKUP(D3,J$3:K$5,2)*F3,0);ICT applications
0417_s20_qp_13;6(e);The systems analyst has set up the following fields for the database. Describe how the table could be sorted to display the data in ascending order of Type_of_membership.;3;Highlight A3 to H6/column A to column H/A2 to H6, Click Sort, Deselect/unselect/uncheck top row is headings if A3 to H6 used//select/check top row is heading if A2 to H6 used, Click on sort by Column D//Click on sort by Type of member, Sort A to Z/ascending;ICT applications
0417_s20_qp_13;7(a);The modern home relies heavily on microprocessor-controlled devices. Describe four benefits in terms of lifestyle changes that this has produced for the users of such devices.;4;Faster switch on as the operating system does not need to load, Lighter and smaller than a laptop computer therefore more portable, Don’t generate as much heat, Battery life tends to last longer;The effects of using IT
0417_s20_qp_13;7(b);The worker has set the heater control to switch on at 16:00 for two hours. Explain how the microprocessor can operate the automatic heater to turn on and off at the correct times.;6;Microprocessor constantly checks … current time against the start time, If the current time is less than the set time nothing happens, If they are the same the microprocessor sends a signal … to the actuator to turn the heater on, The microprocessor calculates the end time by adding 2 hours to the start time, The microprocessor checks the current time against the end time, When they are equal the microprocessor sends a signal to the actuator to turn the heater off;Types and components of computer systems
0417_s20_qp_13;8;Parallel running is a type of implementation. Name and describe two other methods of implementing a new computer system. For each one give an advantage and a disadvantage of this method. Your answers must be different in each case.;8;Direct changeover – New system replaces existing system immediately/overnight – Adv: The benefits are immediate, Costs are reduced as only one set of staff are needed; Disadv: The old system no longer exists therefore all data could be lost. Phased implementation – New system is implemented part by part – Adv: If the current part fails then not all the system is lost, Disadv: More expensive as each part needs to be evaluated before moving on;System Life Cycle
0417_s20_qp_13;9;A student is undertaking research for his studies. He needs to find up-to-date information and has decided to look for it using the internet. Explain how he would check the reliability of this information.;6;Check the credentials of the authors of a website, Cross-check the data with other websites, Check if the site has excessive advertising, Check if the advertising is related only to its own products, Check the final part of a URL … .ac., .gov, .org government/academic sites are usually fairly reliable, Check if the site is endorsed by reliable/reputable people/organizations it can be accepted as being reliable/If it has links to other reliable sites;Safety and Security
